perimetre,millesime,tarif,rang,taux_taxation,composante_carbone,boucliers_et_aides,prix_quotas_ets,prix_reel_quotas_ets,remboursement_indirect_ets,quantite,unite_tarif,unite_quantite
Carbone,2015,174.524363333,1,174.524363332737,14.5,0.0,0.0,0.0,0.0,2.12070665,euro/tCO2,MtCO2
Carbone,2015,179.556569452,1,179.5565694518996,14.5,0.0,0.0,0.0,0.0,78.510743625,euro/tCO2,MtCO2
Carbone,2015,232.331265761,1,232.3312657610431,14.5,0.0,0.0,0.0,0.0,0.009668956,euro/tCO2,MtCO2
Carbone,2015,236.115378173,1,236.1153781726502,14.5,0.0,0.0,0.0,0.0,0.045370097,euro/tCO2,MtCO2
Carbone,2015,238.684130308,1,238.6841303079916,14.5,0.0,0.0,0.0,0.0,0.570958904,euro/tCO2,MtCO2
Carbone,2015,238.876341315,1,238.8763413149692,14.5,0.0,0.0,0.0,0.0,0.746329324,euro/tCO2,MtCO2
Carbone,2015,264.770454634,1,264.7704546338597,14.5,0.0,0.0,0.0,0.0,0.175341099,euro/tCO2,MtCO2
Carbone,2015,269.082922697,1,269.0829226967564,14.5,0.0,0.0,0.0,0.0,0.822761327,euro/tCO2,MtCO2
Carbone,2015,272.01033614,1,272.0103361401781,14.5,0.0,0.0,0.0,0.0,6.688003534,euro/tCO2,MtCO2
Carbone,2015,272.229384556,1,272.2293845559665,14.5,0.0,0.0,0.0,0.0,13.534264734,euro/tCO2,MtCO2
Carbone,2016,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,123.306927925,euro/tCO2,MtCO2
Carbone,2016,0.592499651,1,0.5924996514707932,0.0,0.0,0.0,0.0,0.0,0.385770611,euro/tCO2,MtCO2
Carbone,2016,0.594729345,1,0.5947293447293448,0.0,0.0,0.0,0.0,0.0,0.06240156,euro/tCO2,MtCO2
Carbone,2016,3.089304258,1,3.089304257528557,0.0,0.0,0.0,0.0,0.0,0.17630427,euro/tCO2,MtCO2
Carbone,2016,3.272827283,1,3.272827282728273,0.0,0.0,0.0,0.0,0.0,0.056922756,euro/tCO2,MtCO2
Carbone,2016,3.494244773,1,3.494244773314541,0.0,0.0,0.0,0.0,0.0,0.534090938,euro/tCO2,MtCO2
Carbone,2016,4.08,1,4.08,0.0,0.0,0.0,0.0,0.0,8.52042986,euro/tCO2,MtCO2
Carbone,2016,5.25984511,1,0.0,0.0,0.0,5.259845110198853,0.0,0.0,59.668961753,euro/tCO2,MtCO2
Carbone,2016,5.25984511,2,0.0,0.0,0.0,5.259845110198853,5.259845110198853,0.0,18.718508975,euro/tCO2,MtCO2
Carbone,2016,7.568062775,1,7.568062775089124,0.0,0.0,0.0,0.0,0.0,0.782081236,euro/tCO2,MtCO2
Carbone,2016,7.966381869,1,7.966381868514868,7.0,0.0,0.0,0.0,0.0,1.517098681,euro/tCO2,MtCO2
Carbone,2016,8.349149368,1,3.089304257528557,0.0,0.0,5.259845110198853,0.0,0.0,0.148094483,euro/tCO2,MtCO2
Carbone,2016,8.349149368,2,3.089304257528557,0.0,0.0,5.259845110198853,5.259845110198853,0.0,0.020021044,euro/tCO2,MtCO2
Carbone,2016,8.532672393,1,3.272827282728273,0.0,0.0,5.259845110198853,0.0,0.0,0.055133204,euro/tCO2,MtCO2
Carbone,2016,8.532672393,2,3.272827282728273,0.0,0.0,5.259845110198853,5.259845110198853,0.0,0.010283968,euro/tCO2,MtCO2
Carbone,2016,8.754089884,1,3.494244773314541,0.0,0.0,5.259845110198853,0.0,0.0,0.631658132,euro/tCO2,MtCO2
Carbone,2016,8.754089884,2,3.494244773314541,0.0,0.0,5.259845110198853,5.259845110198853,0.0,0.079975898,euro/tCO2,MtCO2
Carbone,2016,12.827907885,1,7.568062775089124,0.0,0.0,5.259845110198853,5.259845110198853,0.0,16.958874154,euro/tCO2,MtCO2
Carbone,2016,12.827907885,2,7.568062775089124,0.0,0.0,5.259845110198853,0.0,0.0,15.097144319,euro/tCO2,MtCO2
Carbone,2016,14.386286471,1,14.38628647139605,0.0,0.0,0.0,0.0,0.0,8.467705007,euro/tCO2,MtCO2
Carbone,2016,16.5,1,0.0,0.0,0.0,16.5,0.0,0.0,14.98289229,euro/tCO2,MtCO2
Carbone,2016,20.513433311,1,20.51343331142579,22.0,0.0,0.0,0.0,0.0,0.825587736,euro/tCO2,MtCO2
