perimetre,dimension,regime,categorie,millesime,part,source
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2020,0.3042445412427596,observe
Carbone,Agents,Gazole - transport routier,Ménages,2020,0.6957554587572403,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2021,0.3207984487231214,observe
Carbone,Agents,Gazole - transport routier,Ménages,2021,0.6792015512768785,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2022,0.31827355059034196,observe
Carbone,Agents,Gazole - transport routier,Ménages,2022,0.681726449409658,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2023,0.3093284514746848,observe
Carbone,Agents,Gazole - transport routier,Ménages,2023,0.6906715485253152,observe
Carbone,Agents,Gazole - transport routier,Entreprises et administrations,2024*,0.3093284514746848,observe
Carbone,Agents,Gazole - transport routier,Ménages,2024*,0.6906715485253152,observe
Carbone,Agents,Gazole Non Routier,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole Non Routier - Agriculture,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole Non Routier - Double usage,Entreprises et administrations,,1.0,observe
Carbone,Agents,Gazole Non Routier - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Carbone,Agents,HFC,,,1.0,inconnu
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2014,0.7635195380088774,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2014,0.23648046199112252,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2015,0.762413346985425,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2015,0.23758665301457502,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2016,0.7537187353697515,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2016,0.24628126463024852,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2017,0.7515080145209152,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2017,0.24849198547908485,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2018,0.7533600347949064,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2018,0.24663996520509351,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2019,0.7520003689421493,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2019,0.2479996310578507,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2020,0.739836187999651,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2020,0.26016381200034905,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2021,0.7227992161925292,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2021,0.27720078380747076,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2022,0.7232003074432941,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2022,0.27679969255670583,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2023,0.7253234026713641,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2023,0.27467659732863603,observe
Carbone,Agents,HFC règlement F-Gaz,Entreprises et administrations,2024*,0.7253234026713641,observe
Carbone,Agents,HFC règlement F-Gaz,Ménages,2024*,0.27467659732863603,observe
Carbone,Agents,Kerosene - Aéronefs,Entreprises et administrations,,1.0,observe
Carbone,Agents,Kerosene - Carburant armée,Entreprises et administrations,,1.0,observe
Carbone,Agents,Kerosene combustible,Ménages,,1.0,observe
Carbone,Agents,Méthane,,,1.0,inconnu
Carbone,Agents,Méthane - production gaz,,,1.0,inconnu
Carbone,Agents,Méthane - résidentiel biomasse,,,1.0,inconnu
Carbone,Agents,Méthane stockage déchets,Entreprises et administrations,,1.0,observe
Carbone,Agents,N2O,,,1.0,inconnu
Carbone,Agents,N2O procédés industriels,Entreprises et administrations,,1.0,observe
Carbone,Type de produit,Autres gaz fluorés,Non combustible,,1.0,intitule
Carbone,Type de produit,Autres produits pétroliers,Pétrole,,1.0,intitule
Carbone,Type de produit,Autres produits pétroliers - Double usage,Pétrole,,1.0,intitule
Carbone,Type de produit,Autres produits pétroliers - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Type de produit,CO2 non énergétique,Non combustible,,1.0,intitule
Carbone,Type de produit,CO2 non énergétique incinération déchets,Non combustible,,1.0,intitule
Carbone,Type de produit,CO2 non énergétique procédés industriels,Non combustible,,1.0,intitule
Carbone,Type de produit,CO2 énergétique incinération déchets,Déchets et biomasse,,1.0,observe
Carbone,Type de produit,Charbon - Double usage,Charbon,,1.0,intitule
Carbone,Type de produit,Charbon - Grande consommation et quotas ETS,Charbon,,1.0,observe
Carbone,Type de produit,Charbon - Prod. min. non métalliques,Charbon,,1.0,intitule
Carbone,Type de produit,Charbon - Prod. Électricité,Charbon,,1.0,intitule
Carbone,Type de produit,E10 - transport routier,Pétrole,,1.0,observe
Carbone,Type de produit,E85 - transport routier,Pétrole,,1.0,observe
Carbone,Type de produit,Essence - Bateaux,Pétrole,,1.0,intitule
Carbone,Type de produit,Essence - Taxis,Pétrole,,1.0,observe
Carbone,Type de produit,Essence - transport routier,Pétrole,,1.0,observe
Carbone,Type de produit,Fioul domestique - Combustible,Pétrole,,1.0,observe
Carbone,Type de produit,Fioul domestique - Double usage,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul domestique - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul domestique - Prod. Électricité,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul lourd - Agriculture,Pétrole,,1.0,observe
Carbone,Type de produit,Fioul lourd - Bateaux,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul lourd - Combustible,Pétrole,,1.0,observe
Carbone,Type de produit,Fioul lourd - Double usage,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul lourd - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Type de produit,Fioul lourd - Prod. Électricité,Pétrole,,1.0,intitule
Carbone,Type de produit,GPL - Agriculture,Pétrole,,1.0,observe
Carbone,Type de produit,GPL - Carburant,Pétrole,,1.0,observe
Carbone,Type de produit,GPL - Combustible,Pétrole,,1.0,observe
Carbone,Type de produit,GPL - Double usage,Pétrole,,1.0,intitule
Carbone,Type de produit,GPL - Prod. Electricité,Pétrole,,1.0,intitule
Carbone,Type de produit,GPL - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Type de produit,Gaz - Agriculture,Gaz,,1.0,observe
Carbone,Type de produit,Gaz - Carburant,Gaz,,1.0,observe
Carbone,Type de produit,Gaz - Combustible,Gaz,,1.0,observe
Carbone,Type de produit,Gaz - Double usage,Gaz,,1.0,intitule
Carbone,Type de produit,Gaz - Grande consommation et fuite carbone,Gaz,,1.0,observe
Carbone,Type de produit,Gaz - Grande consommation et quotas ETS,Gaz,,1.0,observe
Carbone,Type de produit,Gaz - Prod. Electricité,Gaz,,1.0,intitule
Carbone,Type de produit,Gaz - Prod. min. non métalliques,Gaz,,1.0,intitule
Carbone,Type de produit,Gaz - Prod. produits énergétiques,Gaz,,1.0,intitule
Carbone,Type de produit,Gaz - Usage autre que carburant ou combustible,Gaz,,1.0,intitule
Carbone,Type de produit,Gaz de raffinerie,Pétrole,,1.0,correction
Carbone,Type de produit,Gazole - Taxis,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole - Transport marchandises,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole - Transport public,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole - transport routier,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole Non Routier,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole Non Routier - Agriculture,Pétrole,,1.0,observe
Carbone,Type de produit,Gazole Non Routier - Double usage,Pétrole,,1.0,intitule
Carbone,Type de produit,Gazole Non Routier - Prod. min. non métalliques,Pétrole,,1.0,intitule
Carbone,Type de produit,HFC,Non combustible,,1.0,intitule
Carbone,Type de produit,HFC règlement F-Gaz,Non combustible,,1.0,observe
Carbone,Type de produit,Kerosene - Aéronefs,Pétrole,,1.0,intitule
Carbone,Type de produit,Kerosene - Carburant armée,Pétrole,,1.0,observe
Carbone,Type de produit,Kerosene combustible,Pétrole,,1.0,observe
Carbone,Type de produit,Méthane,Non combustible,,1.0,correction
Carbone,Type de produit,Méthane - production gaz,Gaz,,1.0,intitule
Carbone,Type de produit,Méthane - résidentiel biomasse,Déchets et biomasse,,1.0,intitule
Carbone,Type de produit,Méthane stockage déchets,Déchets et biomasse,,1.0,observe
Carbone,Type de produit,N2O,Non combustible,,1.0,intitule
Carbone,Type de produit,N2O procédés industriels,Non combustible,,1.0,intitule
Energie,Agents,Autres produits pétroliers,Entreprises et administrations,,1.0,observe
Energie,Agents,Autres produits pétroliers - Double usage,Entreprises et administrations,,1.0,observe
Energie,Agents,Autres produits pétroliers - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Energie,Agents,Aéroports,Entreprises et administrations,,1.0,observe
Energie,Agents,"Bois de chauffage, résidus de bois et autre biomasse solide, charbon de bois",,,1.0,inconnu
Energie,Agents,Chaleur,,,1.0,inconnu
Energie,Agents,Charbon - Double usage,Entreprises et administrations,,1.0,observe
Energie,Agents,Charbon - Grande consommation et quotas ETS,Entreprises et administrations,,1.0,observe
Energie,Agents,Charbon - Prod. min. non métalliques,Entreprises et administrations,,1.0,observe
Energie,Agents,"Consommations < 1,5kWh/€ de VA",Entreprises et administrations,,1.0,observe
Energie,Agents,"Consommations < 1,5kWh/€ de VA (fuite carbone)",Entreprises et administrations,,1.0,observe
Energie,Agents,Consommations >3kWh/€ de VA,Entreprises et administrations,,1.0,observe
Energie,Agents,Consommations >3kWh/€ de VA (fuite carbone),Entreprises et administrations,,1.0,observe
