perimetre,regime,produit,millesime,part,source
Energie,Gaz - Grande consommation et fuite carbone,Chaleur et biomasse,2024*,0.006624241617462526,observe
Energie,Gaz - Grande consommation et fuite carbone,Gaz,2024*,0.9933757583825374,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2017,0.002901263253393583,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2017,0.9970987367466064,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2018,0.0023953927038752936,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2018,0.9976046072961247,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2019,0.003191364659139075,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2019,0.996808635340861,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2020,0.0034524123641164832,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2020,0.9965475876358836,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2021,0.003480230904190335,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2021,0.9965197690958096,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2022,0.005226026044394415,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2022,0.9947739739556055,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2023,0.00538101834023564,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2023,0.9946189816597643,observe
Energie,Gaz - Grande consommation et quotas ETS,Chaleur et biomasse,2024*,0.00538101834023564,observe
Energie,Gaz - Grande consommation et quotas ETS,Gaz,2024*,0.9946189816597643,observe
Energie,Gaz - Prod. min. non métalliques,Gaz,,1.0,intitule
Energie,Gaz - Usage autre que carburant ou combustible,Gaz,,1.0,intitule
Energie,Gaz de raffinerie,Pétrole,,1.0,correction
Energie,Gazole - Taxis,Chaleur et biomasse,2017,0.07289656907977518,observe
Energie,Gazole - Taxis,Pétrole,2017,0.9271034309202247,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2018,0.07382550335570467,observe
Energie,Gazole - Taxis,Pétrole,2018,0.9261744966442953,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2019,0.07382550335570469,observe
Energie,Gazole - Taxis,Pétrole,2019,0.9261744966442953,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2020,0.07754279959718027,observe
Energie,Gazole - Taxis,Pétrole,2020,0.9224572004028198,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2021,0.07754279959718027,observe
Energie,Gazole - Taxis,Pétrole,2021,0.9224572004028198,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2022,0.07754279959718027,observe
Energie,Gazole - Taxis,Pétrole,2022,0.9224572004028198,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2023,0.07754279959718027,observe
Energie,Gazole - Taxis,Pétrole,2023,0.9224572004028198,observe
Energie,Gazole - Taxis,Chaleur et biomasse,2024*,0.07754279959718027,observe
Energie,Gazole - Taxis,Pétrole,2024*,0.9224572004028198,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2017,0.07222803959746373,observe
Energie,Gazole - Transport marchandises,Pétrole,2017,0.9277719604025363,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2018,0.07373779357179364,observe
Energie,Gazole - Transport marchandises,Pétrole,2018,0.9262622064282063,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2019,0.07302442756496337,observe
Energie,Gazole - Transport marchandises,Pétrole,2019,0.9269755724350366,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2020,0.07677018626663362,observe
Energie,Gazole - Transport marchandises,Pétrole,2020,0.9232298137333663,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2021,0.07703028031587478,observe
Energie,Gazole - Transport marchandises,Pétrole,2021,0.9229697196841252,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2022,0.07662577661664002,observe
Energie,Gazole - Transport marchandises,Pétrole,2022,0.92337422338336,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2023,0.07662577661664002,observe
Energie,Gazole - Transport marchandises,Pétrole,2023,0.92337422338336,observe
Energie,Gazole - Transport marchandises,Chaleur et biomasse,2024*,0.07662577661664002,observe
Energie,Gazole - Transport marchandises,Pétrole,2024*,0.92337422338336,observe
