perimetre,millesime,dimension,tarif,categorie,quantite,quantite_cumulee,unite_tarif,unite_quantite
Carbone,2017,Agents,150.7882370774595,Entreprises et administrations,0.914008486,362.3908622988731,euro/tCO2,MtCO2
Carbone,2017,Agents,154.7859946038754,Entreprises et administrations,0.03936465632665601,362.4302269551997,euro/tCO2,MtCO2
Carbone,2017,Agents,160.9933202123218,Entreprises et administrations,20.28917240626402,382.7193993614637,euro/tCO2,MtCO2
Carbone,2017,Agents,166.4377548910836,Ménages,0.5601948131584702,383.2795941746222,euro/tCO2,MtCO2
Carbone,2017,Agents,197.8216138844159,Entreprises et administrations,0.6729379644893021,383.9525321391116,euro/tCO2,MtCO2
Carbone,2017,Agents,197.8216138844159,Ménages,1.430050053940232,385.3825821930517,euro/tCO2,MtCO2
Carbone,2017,Agents,202.8538200035785,Entreprises et administrations,21.7737606284241,407.1563428214758,euro/tCO2,MtCO2
Carbone,2017,Agents,202.8538200035785,Ménages,46.27108174048426,453.4274245619601,euro/tCO2,MtCO2
Carbone,2017,Agents,209.8989085704062,Entreprises et administrations,2.513262843230999,455.9406874051911,euro/tCO2,MtCO2
Carbone,2017,Agents,209.8989085704062,Ménages,5.340895972864389,461.2815833780555,euro/tCO2,MtCO2
Carbone,2017,Agents,241.1790863739288,Entreprises et administrations,0.2001954223533242,461.4817788004088,euro/tCO2,MtCO2
Carbone,2017,Agents,241.1790863739288,Ménages,0.2438327547793967,461.7256115551882,euro/tCO2,MtCO2
Carbone,2017,Agents,242.3947923352879,Entreprises et administrations,0.003713054118151488,461.7293246093064,euro/tCO2,MtCO2
Carbone,2017,Agents,242.3947923352879,Ménages,0.004522402178986821,461.7338470114854,euro/tCO2,MtCO2
Carbone,2017,Agents,245.0349275667408,Entreprises et administrations,0.0458562487858246,461.7797032602712,euro/tCO2,MtCO2
Carbone,2017,Agents,245.0349275667408,Ménages,0.05585170396935059,461.8355549642405,euro/tCO2,MtCO2
Carbone,2017,Agents,246.1789047468949,Entreprises et administrations,0.0170247479938488,461.8525797122344,euro/tCO2,MtCO2
Carbone,2017,Agents,246.1789047468949,Ménages,0.02073569492232813,461.8733154071567,euro/tCO2,MtCO2
