plf;numero;impot;perimetre;libelle;finalite;creation;modification;fin_fait_generateur;fin_incidence;beneficiaires;fiabilite;norme;methode;reference;mission;changement_methode;regime;page_source
2023;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarifs réduits pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2013;2013;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (1er et 2è al.) (abrogé) - CIBS L. 312-75 et L. 312-76;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2024;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarifs réduits pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2013;2023;2023;2023;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des impositions sur les biens et les services L. 312-75 et L. 312-76;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2025;800210;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarifs réduits pour les produits énergétiques (hors gaz naturels et charbons) utilisés dans les installations grandes consommatrices d’énergie et soumises au régime des quotas d’émission de gaz à effet de serre du dispositif ETS (niveau d'intensité énergétique au moins égal à 3 % en valeur de production ou 0,5 % en valeur ajoutée);Aider certains secteurs industriels;2013;2024;2023;2023;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des impositions sur les biens et les services L. 312-75 et L. 312-76;Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2016;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;0 entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;article 265 nonies du code des Douanes Détaxe;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;160
2017;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;article 265 nonies du code des Douanes;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;162
2018;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Taux réduit de taxe intérieure de consommation sur les produits énergétiques, le gaz naturel et les charbons au profit des installations intensives en énergie et exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;article 265 nonies du code des Douanes;Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;156
2019;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour les produits énergétiques utilisés dan les installations grandes consommatrices d’énergie exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;dépense fiscale non-bornée;dépense fiscale non-bornée;(nombre non déterminé) entreprises;Ordre de grandeur;;Reconstitution de base taxable à partir de données déclaratives fiscales;265 nonies (troisième alinéa);Écologie, développement et mobilité durables / Énergie, climat et après-mines (P174);;B;164
2020;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit de taxe intérieure de consommation pour les produits énergétiques utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;"code des douanes ""Non codifié"" 265 nonies (troisième alinéa)";Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;
2021;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques (hors gaz naturel et charbon) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme exposée à un risque important de fuite carbone;;2014;2014;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (troisième alinéa);Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
2022;800211;TICPE / produits énergétiques hors gaz et charbons;depense_fiscale;Tarif réduit pour les produits énergétiques (hors gaz naturel et charbon) utilisés dans les installations grandes consommatrices d’énergie exerçant une activité considérée comme exposée à un risque important de fuite carbone;Aider certains secteurs industriels;2014;2014;non borné;non bornée;Non déterminé;Bonne;Absence de tarif réduit;Reconstitution de base taxable à partir de données déclaratives fiscales;code des douanes 265 nonies (troisième alinéa);Écologie, développement et mobilité durables/ P174 Énergie, climat et après-mines;;C;92
