numero;annee;impot;prevu;realise;ecart
150515;2008;Impôt sur le revenu;10;360;350
120501;2020;Impôt sur le revenu;300;650;350
110203;2023;Impôt sur le revenu;1264;1614;350
710103;2024;Taxe sur la valeur ajoutée;1530;1180;-350
120202;2024;Impôt sur le revenu;1850;1503;-347
140103;2001;Impôt sur le revenu;400;57;-343
800109;2013;TICPE / produits énergétiques hors gaz et charbons;3000;2660;-340
730213;2018;Taxe sur la valeur ajoutée;3640;3300;-340
730205;2021;Taxe sur la valeur ajoutée;820;480;-340
410103;2001;Autres impôts directs;400;63;-337
300102;2008;Impôt sur les sociétés;370;700;330
800201;2013;TICPE / produits énergétiques hors gaz et charbons;2100;1770;-330
300210;2015;Impôt sur les sociétés;40;370;330
140301;2003;Impôt sur le revenu;2;330;328
800401;2022;TICPE / produits énergétiques hors gaz et charbons;1700;2022;322
120108;2012;Impôt sur le revenu;1150;1470;320
070101;2015;Impôts locaux;1275;1595;320
720107;2022;Taxe sur la valeur ajoutée;640;320;-320
110220;2001;Impôt sur le revenu;400;82;-318
330103;2008;Impôt sur les sociétés;620;302;-318
110216;2001;Impôt sur le revenu;380;64;-316
110218;2001;Impôt sur le revenu;400;85;-315
940103;2023;Autres droits;0;312;312
070202;2009;Impôts locaux;407;96;-311
120114;2013;Impôt sur le revenu;890;1200;310
730210;2013;Taxe sur la valeur ajoutée;800;1110;310
140109;2023;Impôt sur le revenu;280;590;310
120108;2024;Impôt sur le revenu;2580;2890;310
320102;2001;Impôt sur les sociétés;340;35;-305
730221;2017;Taxe sur la valeur ajoutée;2400;2704;304
120401;2018;Impôt sur le revenu;4075;4376;301
150701;2007;Impôt sur le revenu;500;200;-300
140101;2008;Impôt sur le revenu;900;600;-300
120202;2011;Impôt sur le revenu;1600;1900;300
300102;2011;Impôt sur les sociétés;700;1000;300
120202;2012;Impôt sur le revenu;1600;1900;300
300102;2012;Impôt sur les sociétés;700;1000;300
520110;2023;Droits d'enregistrement et de timbre;500;800;300
940102;2023;Autres droits;0;298;298
800229;2022;TICPE / produits énergétiques hors gaz et charbons;1420;1717;297
080205;2007;Impôts locaux;148;440;292
140119;2015;Impôt sur le revenu;1865;1573;-292
110222;2012;Impôt sur le revenu;1400;1110;-290
730207;2022;Taxe sur la valeur ajoutée;449;159;-290
800216;2022;TICPE / produits énergétiques hors gaz et charbons;193;483;290
110232;2006;Impôt sur le revenu;720;440;-280
190207;2008;Impôt sur le revenu;600;320;-280
520110;2008;Droits d'enregistrement et de timbre;20;300;280
120108;2011;Impôt sur le revenu;1400;1120;-280
120136;2012;Impôt sur le revenu;1400;1680;280
730213;2013;Taxe sur la valeur ajoutée;5330;5050;-280
980103;2014;Autres droits;130;410;280
120202;2022;Impôt sur le revenu;2045;1765;-280
140119;2014;Impôt sur le revenu;2080;1802;-278
110222;2016;Impôt sur le revenu;1400;1678;278
800107;2010;TICPE / produits énergétiques hors gaz et charbons;643;366;-277
120108;2013;Impôt sur le revenu;1440;1170;-270
730210;2014;Taxe sur la valeur ajoutée;1350;1620;270
210303;2001;Impôt sur le revenu et impôt sur les sociétés;310;42;-268
210309;2012;Impôt sur le revenu et impôt sur les sociétés;400;667;267
730204;2001;Taxe sur la valeur ajoutée;310;44;-266
520301;2001;Droits d'enregistrement et de timbre;270;5;-265
720206;2001;Taxe sur la valeur ajoutée;310;45;-265
190101;2012;Impôt sur le revenu;800;1065;265
340106;2001;Impôt sur les sociétés;300;37;-263
730212;2001;Taxe sur la valeur ajoutée;340;79;-261
330103;2007;Impôt sur les sociétés;750;489;-261
190204;2005;Impôt sur le revenu;760;500;-260
120117;2007;Impôt sur le revenu;500;760;260
140101;2009;Impôt sur le revenu;700;440;-260
170104;2001;Impôt sur le revenu;290;31;-259
120401;2024;Impôt sur le revenu;4544;4803;259
110202;2001;Impôt sur le revenu;300;44;-256
120401;2022;Impôt sur le revenu;4187;4443;256
730205;2024;Taxe sur la valeur ajoutée;440;695;255
110222;2019;Impôt sur le revenu;879;1132;253
400202;2011;Autres impôts directs;733;482;-251
150701;2008;Impôt sur le revenu;500;250;-250
730213;2009;Taxe sur la valeur ajoutée;5400;5150;-250
120114;2010;Impôt sur le revenu;580;830;250
190101;2011;Impôt sur le revenu;800;1050;250
110246;2024;Impôt sur le revenu;6170;6420;250
200302;2015;Impôt sur le revenu et impôt sur les sociétés;5340;5094;-246
150515;2012;Impôt sur le revenu;275;520;245
110251;2021;Impôt sur le revenu;604;360;-244
730231;2020;Taxe sur la valeur ajoutée;501;260;-241
130204;2004;Impôt sur le revenu;450;210;-240
410202;2006;Autres impôts directs;255;15;-240
120401;2013;Impôt sur le revenu;3280;3520;240
200302;2022;Impôt sur le revenu et impôt sur les sociétés;7430;7193;-237
130204;2005;Impôt sur le revenu;345;110;-235
120401;2006;Impôt sur le revenu;0;235;235
150515;2007;Impôt sur le revenu;5;240;235
800401;2021;TICPE / produits énergétiques hors gaz et charbons;1745;1511;-234
800201;2022;TICPE / produits énergétiques hors gaz et charbons;1150;916;-234
820203;2019;TICFE / électricité;1014;1245;231
730210;2002;Taxe sur la valeur ajoutée;640;870;230
800403;2005;TICPE / produits énergétiques hors gaz et charbons;470;240;-230
190101;2006;Impôt sur le revenu;730;500;-230
400202;2008;Autres impôts directs;380;610;230
120401;2011;Impôt sur le revenu;2700;2930;230
120108;2022;Impôt sur le revenu;2350;2580;230
730233;2023;Taxe sur la valeur ajoutée;390;160;-230
070101;2016;Impôts locaux;1157;1385;228
720106;2001;Taxe sur la valeur ajoutée;260;34;-226
120501;2019;Impôt sur le revenu;250;475;225
710103;2019;Taxe sur la valeur ajoutée;1900;2125;225
110213;2001;Impôt sur le revenu;260;37;-223
210309;2017;Impôt sur le revenu et impôt sur les sociétés;680;902;222
230303;2001;Impôt sur le revenu et impôt sur les sociétés;240;19;-221
800211;2016;TICPE / produits énergétiques hors gaz et charbons;235;14;-221
520305;2008;Droits d'enregistrement et de timbre;600;380;-220
140101;2011;Impôt sur le revenu;440;660;220
730219;2013;Taxe sur la valeur ajoutée;430;650;220
300102;2016;Impôt sur les sociétés;1000;1220;220
730231;2022;Taxe sur la valeur ajoutée;500;280;-220
730207;2014;Taxe sur la valeur ajoutée;550;768;218
110246;2020;Impôt sur le revenu;5175;4958;-217
120109;2022;Impôt sur le revenu;540;323;-217
110227;2003;Impôt sur le revenu;5;221;216
800229;2023;TICPE / produits énergétiques hors gaz et charbons;1351;1135;-216
120205;2009;Impôt sur le revenu;300;85;-215
