millesime,case,sum,label,ntot
2022,_911264,181099310,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Quantité,3106
2023,_911264,45435987,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Quantité,3215
2024,_911264,250442,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Quantité,3234
2025,_911264,30614,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Quantité,2057
2022,_911265,1523045197.1,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Montant,3106
2023,_911265,382116650.67,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Montant,3215
2024,_911265,2106217.22,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Montant,3234
2025,_911265,257463.74,Tarif plein pour un usage combustible ou cogénération au titre de l'année N+1 - TICGN - Taux plein - Montant,2057
2022,_911266,1011570,Régularisations commerciales à la hausse - TICGN,3106
2023,_911266,446895,Régularisations commerciales à la hausse - TICGN,3215
2024,_911266,358775,Régularisations commerciales à la hausse - TICGN,3234
2025,_911266,92480,Régularisations commerciales à la hausse - TICGN,2057
2022,_911268,28212006,Régularisations commerciales à la baisse - TICGN,3106
2023,_911268,50767597,Régularisations commerciales à la baisse - TICGN,3215
2024,_911268,32535397,Régularisations commerciales à la baisse - TICGN,3234
2022,_911270,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Quantité",3106
2023,_911270,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Quantité",3215
2024,_911270,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Quantité",3234
2025,_911270,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Quantité",2057
2022,_911271,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Montant",3106
2023,_911271,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Montant",3215
2024,_911271,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Montant",3234
2025,_911271,0,"Usage combustible - Tarif à 1,08 €/MWh (bouclier tarifaire) - TICGN - Taux pleins - Montant",2057
2022,_911272,0,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Quantité",3106
2023,_911272,164933333,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Quantité",3215
2024,_911272,42874067,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Quantité",3234
2025,_911272,141499,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Quantité",2057
2022,_911273,0,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Montant",3106
2023,_911273,1380491997.21,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Montant",3215
2024,_911273,358855940.79,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Montant",3234
2025,_911273,1184346.63,"Usage combustible - Tarif à 8,37 €/MWh - TICGN - Taux pleins - Montant",2057
2022,_911293,209337,Tarif plein pour un usage en tant que combustible - TICC Fournisseur - Taux plein - Quantité,3106
2023,_911293,146510,Tarif plein pour un usage en tant que combustible - TICC Fournisseur - Taux plein - Quantité,3215
2024,_911293,115778,Tarif plein pour un usage en tant que combustible - TICC Fournisseur - Taux plein - Quantité,3234
2025,_911293,53834,Tarif plein pour un usage en tant que combustible - TICC Fournisseur - Taux plein - Quantité,2057
2022,_911294,3060506.94,Tarif plein pour un usage en tant que combustible- TICC Fournisseur - Taux plein - Montant,3106
2023,_911294,2141976.2,Tarif plein pour un usage en tant que combustible- TICC Fournisseur - Taux plein - Montant,3215
2024,_911294,1692674.36,Tarif plein pour un usage en tant que combustible- TICC Fournisseur - Taux plein - Montant,3234
2025,_911294,787053.08,Tarif plein pour un usage en tant que combustible- TICC Fournisseur - Taux plein - Montant,2057
2022,_911295,1995940,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Quantité",3106
2023,_911295,1138891,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Quantité",3215
2024,_911295,513173,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Quantité",3234
2025,_911295,0,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Quantité",2057
2022,_911296,2375168.6,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Montant",3106
2023,_911296,1355280.29,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Montant",3215
2024,_911296,610675.87,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Montant",3234
2025,_911296,0,"Entreprises grandes consommatrices d'énergie soumise au SEQE, régime prévu aux alinéas 1 et 2 de l'article 265 nonies du code des douanes - TICC Fournisseur - Taux réduits - Montant",2057
2022,_911297,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Quantité",3106
2023,_911297,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Quantité",3215
2024,_911297,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Quantité",3234
2025,_911297,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Quantité",2057
2022,_911298,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Montant",3106
2023,_911298,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Montant",3215
2024,_911298,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Montant",3234
2025,_911298,0,"Entreprises grandes consommatrices d'énergie dont les activités sont exposées à un risque de fuite de carbone, régime prévu à l'alinéa 3 de l'article 265 nonies - TICC Fournisseur - Taux réduits - Montant",2057
2022,_911299,1995940,TOTAL - TICC Fournisseur - Taux réduits - Quantité,3106
2023,_911299,1138891,TOTAL - TICC Fournisseur - Taux réduits - Quantité,3215
2024,_911299,1042661,TOTAL - TICC Fournisseur - Taux réduits - Quantité,3234
2025,_911299,599267,TOTAL - TICC Fournisseur - Taux réduits - Quantité,2057
2022,_911300,2375170,TOTAL - TICC Fournisseur - Taux réduits - Montant,3106
2023,_911300,1355280,TOTAL - TICC Fournisseur - Taux réduits - Montant,3215
2024,_911300,2087947,TOTAL - TICC Fournisseur - Taux réduits - Montant,3234
2025,_911300,2486332,TOTAL - TICC Fournisseur - Taux réduits - Montant,2057
2023,_911301,0,REGULARISATION fiscale augmentation -TICC Fournisseur,3215
2024,_911301,862804,REGULARISATION fiscale augmentation -TICC Fournisseur,3234
2022,_911302,5435581,TOTAL TICC DUE - TICC Fournisseur,3106
2023,_911302,3497269,TOTAL TICC DUE - TICC Fournisseur,3215
2024,_911302,4643438,TOTAL TICC DUE - TICC Fournisseur,3234
2025,_911302,3286700,TOTAL TICC DUE - TICC Fournisseur,2057
2022,_911306,0,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Quantité,3106
2023,_911306,0,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Quantité,3215
2024,_911306,529488,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Quantité,3234
2022,_911307,0,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Montant,3106
2023,_911307,0,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Montant,3215
2024,_911307,1477271.52,Installations intensives en énergie soumises au SEQE de l UE - TICC_Taux réduits_Montant,3234
2022,_911310,0,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Quantité",3106
2023,_911310,99408.616,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Quantité",3215
2024,_911310,1083.129,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Quantité",3234
2022,_911311,0,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Montant",3106
2023,_911311,206769.92,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Montant",3215
2024,_911311,2252.91,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 2,08 €/MWh - TICFE - Taux pleins - Montant",3234
2022,_911312,0,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Quantité",3106
2023,_911312,71113.547,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Quantité",3215
2024,_911312,109.731,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Quantité",3234
2022,_911313,0,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Montant",3106
2023,_911313,110937.15,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Montant",3215
2024,_911313,171.19,"Majoration 'taxe communale sur la consommation finale d'électricité janvier 2023' tarif à 1,56 €/MWh - TICFE - Taux pleins - Montant",3234
2022,_911319,62309300.376,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3106
2023,_911319,1011585.219,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3215
2024,_911319,4126650.039,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3234
2025,_911319,29007847.759,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,2057
2022,_911320,1401959259.11,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3106
2023,_911320,22760667.64,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3215
2024,_911320,92849626.08,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3234
2025,_911320,652676575.09,Si puissance raccordement > 250 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,2057
2022,_911321,27843313.909,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3106
2023,_911321,215392.773,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3215
2024,_911321,43920.475,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3234
2025,_911321,852.21,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,2057
2022,_911322,719167739.37,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3106
2023,_911322,5563401.44,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3215
2024,_911322,1134426.34,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3234
2025,_911322,22011.82,Si puissance raccordement < 250kilovoltampères - TICFE Fournisseur - Taux plein - Montant,2057
2022,_911323,4862884.596,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3106
2023,_911323,15489.364,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3215
2024,_911323,3839.468,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,3234
2025,_911323,1524.376,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Quantité,2057
2022,_911324,114811246.48,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3106
2023,_911324,365699.24,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3215
2024,_911324,90648.7,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,3234
2025,_911324,35990.07,Si consommation réalisée pour les besoins des activités économiques et puissance de raccordement > 36 kilovoltampères - TICFE Fournisseur - Taux plein - Montant,2057
2022,_911325,333398655,TOTAL - TICFE Fournisseur - Taux plein - Quantité,3106
2023,_911325,356216543,TOTAL - TICFE Fournisseur - Taux plein - Quantité,3215
2024,_911325,370281582,TOTAL - TICFE Fournisseur - Taux plein - Quantité,3234
2025,_911325,275125163,TOTAL - TICFE Fournisseur - Taux plein - Quantité,2057
2022,_911326,2108382913,TOTAL - TICFE Fournisseur - Taux plein - Montant,3106
2023,_911326,399751849,TOTAL - TICFE Fournisseur - Taux plein - Montant,3215
2024,_911326,4858088277,TOTAL - TICFE Fournisseur - Taux plein - Montant,3234
2025,_911326,6811430978,TOTAL - TICFE Fournisseur - Taux plein - Montant,2057
